Customer ID,freq_per_year,spend_bucket,segment
140,0.0,Very High,Very Low
141,52.0,Low,High
142,52.0,Medium,High
143,0.0,Medium,Very Low
144,4.0,Medium,Low
145,12.0,Medium,Medium
146,4.0,Very High,Low
147,0.0,Low,Very Low
148,0.0,High,Very Low
149,0.0,Very High,Very Low
150,12.0,High,Medium
151,0.0,Very High,Very Low
152,0.0,Medium,Very Low
153,0.0,Very High,Very Low
154,0.0,Medium,Very Low
155,4.0,Very High,Low
156,4.0,High,Low
157,0.0,Low,Very Low
158,0.0,High,Very Low
159,12.0,High,Medium
160,0.0,Low,Very Low
161,12.0,Low,Medium
162,0.0,Medium,Very Low
163,0.0,High,Very Low
164,52.0,High,High
165,0.0,High,Very Low
166,12.0,Medium,Medium
167,12.0,Low,Medium
168,0.0,Low,Very Low
169,0.0,High,Very Low
170,0.0,Low,Very Low
171,0.0,Low,Very Low
172,52.0,Low,High
173,0.0,High,Very Low
174,0.0,Medium,Very Low
175,0.0,Low,Very Low
176,0.0,Very High,Very Low
177,4.0,High,Low
178,12.0,Medium,Medium
179,4.0,Medium,Low
180,0.0,Low,Very Low
181,0.0,High,Very Low
182,52.0,High,High
183,0.0,Very High,Very Low
184,52.0,Low,High
185,0.0,Low,Very Low
186,0.0,Low,Very Low
187,0.0,Medium,Very Low
188,0.0,Very High,Very Low
189,0.0,Medium,Very Low
190,52.0,Very High,High
191,4.0,High,Low
192,0.0,High,Very Low
193,0.0,Low,Very Low
194,0.0,Very High,Very Low
195,4.0,Very High,Low
196,12.0,Low,Medium
197,0.0,Very High,Very Low
198,12.0,High,Medium
199,0.0,Medium,Very Low
200,52.0,High,High
201,12.0,High,Medium
202,0.0,Low,Very Low
203,0.0,Low,Very Low
204,52.0,Low,High
205,0.0,Very High,Very Low
206,52.0,High,High
207,0.0,Medium,Very Low
208,0.0,Very High,Very Low
209,12.0,Low,Medium
210,0.0,Very High,Very Low
211,0.0,Low,Very Low
212,0.0,Very High,Very Low
213,0.0,Very High,Very Low
214,0.0,Very High,Very Low
215,0.0,Medium,Very Low
216,0.0,High,Very Low
217,52.0,High,High
218,0.0,Medium,Very Low
219,4.0,Medium,Low
220,0.0,Very High,Very Low
221,0.0,Medium,Very Low
222,4.0,High,Low
223,0.0,Very High,Very Low
224,0.0,Medium,Very Low
225,0.0,Very High,Very Low
226,0.0,Low,Very Low
227,12.0,High,Medium
228,0.0,Very High,Very Low
229,0.0,High,Very Low
230,0.0,Low,Very Low
231,0.0,Very High,Very Low
232,0.0,Low,Very Low
233,0.0,Low,Very Low
234,0.0,Very High,Very Low
235,52.0,Low,High
236,4.0,Very High,Low
237,0.0,High,Very Low
238,0.0,Very High,Very Low
239,0.0,Low,Very Low
240,0.0,Medium,Very Low
241,0.0,Medium,Very Low
242,0.0,Very High,Very Low
243,0.0,Very High,Very Low
244,12.0,Very High,Medium
245,52.0,Medium,High
246,0.0,Medium,Very Low
247,0.0,Very High,Very Low
248,52.0,High,High
249,52.0,Very High,High
250,0.0,Medium,Very Low
251,52.0,Low,High
252,0.0,Medium,Very Low
253,0.0,Medium,Very Low
254,0.0,High,Very Low
255,0.0,Medium,Very Low
256,0.0,Low,Very Low
257,0.0,Low,Very Low
258,4.0,Medium,Low
259,4.0,High,Low
260,0.0,Medium,Very Low
261,0.0,Medium,Very Low
262,0.0,High,Very Low
263,0.0,Medium,Very Low
264,12.0,Medium,Medium
265,0.0,High,Very Low
266,0.0,Medium,Very Low
267,52.0,High,High
268,0.0,Medium,Very Low
269,12.0,Medium,Medium
270,0.0,Medium,Very Low
271,0.0,Medium,Very Low
272,0.0,High,Very Low
273,0.0,Low,Very Low
274,4.0,Low,Low
275,0.0,Low,Very Low
276,52.0,Very High,High
277,0.0,Low,Very Low
278,0.0,Low,Very Low
279,0.0,Very High,Very Low
280,12.0,High,Medium
281,0.0,High,Very Low
282,0.0,High,Very Low
283,12.0,Very High,Medium
284,0.0,Low,Very Low
285,4.0,Medium,Low
286,0.0,Low,Very Low
287,0.0,Medium,Very Low
288,0.0,Low,Very Low
289,0.0,High,Very Low
290,12.0,Very High,Medium
291,52.0,Low,High
292,12.0,Low,Medium
293,4.0,Very High,Low
294,0.0,Low,Very Low
295,0.0,Low,Very Low
296,4.0,Medium,Low
297,52.0,High,High
298,0.0,Low,Very Low
299,0.0,Medium,Very Low
300,0.0,High,Very Low
301,52.0,Very High,High
302,0.0,Very High,Very Low
303,0.0,Medium,Very Low
304,52.0,Medium,High
305,0.0,Very High,Very Low
306,0.0,Medium,Very Low
307,0.0,Medium,Very Low
308,0.0,Low,Very Low
309,0.0,Low,Very Low
310,0.0,Low,Very Low
311,0.0,Very High,Very Low
312,12.0,Medium,Medium
313,0.0,Very High,Very Low
314,0.0,High,Very Low
315,0.0,Low,Very Low
316,0.0,Low,Very Low
317,12.0,Low,Medium
318,0.0,Very High,Very Low
319,0.0,High,Very Low
320,0.0,High,Very Low
321,4.0,High,Low
322,4.0,Low,Low
323,12.0,Very High,Medium
324,0.0,High,Very Low
325,4.0,Very High,Low
326,0.0,High,Very Low
327,52.0,Medium,High
328,52.0,Medium,High
329,52.0,Medium,High
330,12.0,Low,Medium
331,0.0,Medium,Very Low
332,4.0,Very High,Low
333,12.0,Very High,Medium
334,0.0,High,Very Low
335,0.0,Medium,Very Low
336,0.0,Very High,Very Low
337,0.0,High,Very Low
338,0.0,Medium,Very Low
339,52.0,High,High
340,0.0,Low,Very Low
341,0.0,Medium,Very Low
342,0.0,Low,Very Low
343,0.0,Low,Very Low
344,12.0,Low,Medium
345,12.0,High,Medium
346,0.0,Medium,Very Low
347,52.0,Medium,High
348,0.0,Medium,Very Low
349,0.0,Medium,Very Low
350,0.0,Very High,Very Low
351,0.0,High,Very Low
352,0.0,Very High,Very Low
353,0.0,High,Very Low
354,12.0,High,Medium
355,52.0,High,High
356,0.0,Medium,Very Low
357,52.0,High,High
358,0.0,Medium,Very Low
359,0.0,Low,Very Low
360,0.0,High,Very Low
361,0.0,Low,Very Low
362,0.0,Very High,Very Low
363,0.0,High,Very Low
364,0.0,Very High,Very Low
365,0.0,Very High,Very Low
366,4.0,Very High,Low
367,0.0,Low,Very Low
368,12.0,Medium,Medium
369,12.0,Low,Medium
370,4.0,Medium,Low
371,52.0,Low,High
372,12.0,Very High,Medium
373,52.0,Very High,High
374,0.0,Low,Very Low
375,12.0,High,Medium
376,4.0,Low,Low
377,0.0,Medium,Very Low
378,0.0,Low,Very Low
379,12.0,High,Medium
380,0.0,Low,Very Low
381,52.0,High,High
382,0.0,Low,Very Low
383,4.0,High,Low
384,4.0,High,Low
385,0.0,Low,Very Low
386,0.0,Very High,Very Low
387,4.0,Low,Low
388,0.0,Very High,Very Low
389,4.0,Very High,Low
390,12.0,Medium,Medium
391,0.0,High,Very Low
392,0.0,Very High,Very Low
393,0.0,Very High,Very Low
394,0.0,High,Very Low
395,0.0,Low,Very Low
396,0.0,High,Very Low
397,0.0,Very High,Very Low
398,0.0,Medium,Very Low
399,0.0,High,Very Low
400,12.0,Low,Medium
401,0.0,High,Very Low
402,4.0,Very High,Low
403,12.0,High,Medium
404,0.0,Medium,Very Low
405,12.0,Very High,Medium
406,0.0,High,Very Low
407,12.0,Medium,Medium
408,0.0,High,Very Low
409,0.0,High,Very Low
410,12.0,Medium,Medium
411,4.0,Low,Low
412,0.0,Low,Very Low
413,52.0,High,High
414,12.0,Very High,Medium
415,52.0,Very High,High
416,12.0,Low,Medium
417,0.0,Medium,Very Low
418,4.0,High,Low
419,0.0,High,Very Low
420,0.0,Very High,Very Low
421,0.0,Medium,Very Low
422,0.0,Medium,Very Low
423,0.0,Medium,Very Low
424,0.0,Low,Very Low
425,0.0,Low,Very Low
426,4.0,Very High,Low
427,4.0,High,Low
428,4.0,Very High,Low
429,0.0,High,Very Low
430,0.0,Very High,Very Low
431,0.0,Medium,Very Low
432,0.0,High,Very Low
433,52.0,Very High,High
434,0.0,Very High,Very Low
435,0.0,Medium,Very Low
436,12.0,Low,Medium
437,52.0,Medium,High
438,0.0,Medium,Very Low
439,0.0,Low,Very Low
440,12.0,Medium,Medium
441,0.0,Very High,Very Low
442,0.0,High,Very Low
443,4.0,High,Low
444,0.0,High,Very Low
445,0.0,Low,Very Low
446,0.0,Low,Very Low
447,12.0,High,Medium
448,0.0,Very High,Very Low
449,0.0,Low,Very Low
450,12.0,Medium,Medium
451,12.0,Low,Medium
452,0.0,Low,Very Low
453,0.0,Medium,Very Low
454,52.0,Medium,High
455,0.0,Very High,Very Low
456,0.0,Very High,Very Low
457,4.0,Very High,Low
458,0.0,Very High,Very Low
459,12.0,Very High,Medium
460,0.0,Low,Very Low
461,52.0,High,High
462,52.0,Very High,High
463,0.0,High,Very Low
464,52.0,High,High
465,12.0,Medium,Medium
466,4.0,Very High,Low
467,52.0,Low,High
468,0.0,Medium,Very Low
469,4.0,Low,Low
470,0.0,Medium,Very Low
471,0.0,High,Very Low
472,4.0,High,Low
473,4.0,Low,Low
474,0.0,Medium,Very Low
475,4.0,High,Low
476,0.0,High,Very Low
477,0.0,Very High,Very Low
478,52.0,Medium,High
479,0.0,Medium,Very Low
480,12.0,Very High,Medium
481,0.0,Very High,Very Low
482,0.0,Very High,Very Low
483,0.0,Medium,Very Low
484,52.0,High,High
485,4.0,High,Low
486,0.0,Medium,Very Low
487,0.0,High,Very Low
488,4.0,High,Low
489,52.0,Low,High
490,0.0,Very High,Very Low
491,12.0,Medium,Medium
492,0.0,High,Very Low
493,52.0,High,High
494,0.0,Medium,Very Low
495,52.0,High,High
496,0.0,Low,Very Low
497,0.0,High,Very Low
498,52.0,Low,High
499,12.0,High,Medium
500,12.0,Very High,Medium
501,0.0,Low,Very Low
502,0.0,Medium,Very Low
503,0.0,Low,Very Low
504,4.0,Low,Low
505,0.0,Low,Very Low
506,0.0,High,Very Low
507,0.0,Medium,Very Low
508,0.0,Low,Very Low
509,4.0,Low,Low
510,52.0,High,High
511,0.0,Very High,Very Low
512,0.0,Medium,Very Low
513,12.0,Medium,Medium
514,0.0,High,Very Low
515,4.0,High,Low
516,12.0,High,Medium
517,0.0,Medium,Very Low
518,0.0,Medium,Very Low
519,0.0,Very High,Very Low
520,4.0,Medium,Low
521,4.0,Very High,Low
522,0.0,Medium,Very Low
523,4.0,Very High,Low
524,4.0,Medium,Low
525,0.0,Low,Very Low
526,12.0,Low,Medium
527,12.0,Medium,Medium
528,0.0,Low,Very Low
529,0.0,Very High,Very Low
530,12.0,Very High,Medium
531,0.0,Low,Very Low
532,52.0,Medium,High
533,0.0,High,Very Low
534,52.0,Medium,High
535,4.0,High,Low
536,52.0,Medium,High
537,0.0,Very High,Very Low
538,0.0,Medium,Very Low
539,52.0,Low,High
540,52.0,Medium,High
541,0.0,Low,Very Low
542,0.0,Low,Very Low
543,0.0,High,Very Low
544,12.0,Very High,Medium
545,0.0,High,Very Low
546,0.0,Low,Very Low
547,0.0,High,Very Low
548,52.0,Medium,High
549,0.0,High,Very Low
550,0.0,Low,Very Low
551,52.0,High,High
552,0.0,High,Very Low
553,52.0,Very High,High
554,4.0,Medium,Low
555,52.0,Medium,High
556,0.0,Medium,Very Low
557,0.0,Very High,Very Low
558,52.0,Medium,High
559,0.0,High,Very Low
560,12.0,Medium,Medium
561,0.0,Medium,Very Low
562,0.0,High,Very Low
563,0.0,High,Very Low
564,4.0,Very High,Low
565,52.0,Medium,High
566,52.0,Medium,High
567,0.0,Very High,Very Low
568,0.0,Medium,Very Low
569,12.0,Very High,Medium
570,0.0,Low,Very Low
571,0.0,Very High,Very Low
572,52.0,High,High
573,0.0,Very High,Very Low
574,0.0,High,Very Low
575,0.0,High,Very Low
576,12.0,Very High,Medium
577,0.0,High,Very Low
578,0.0,Medium,Very Low
579,0.0,Very High,Very Low
580,0.0,Medium,Very Low
581,52.0,High,High
582,0.0,Very High,Very Low
583,4.0,High,Low
584,12.0,High,Medium
585,12.0,Very High,Medium
586,0.0,Low,Very Low
587,0.0,Low,Very Low
588,0.0,Very High,Very Low
589,4.0,Medium,Low
590,0.0,High,Very Low
591,0.0,Low,Very Low
592,0.0,Low,Very Low
593,0.0,Low,Very Low
594,0.0,Low,Very Low
595,12.0,Very High,Medium
596,4.0,High,Low
597,0.0,Low,Very Low
598,0.0,High,Very Low
599,0.0,High,Very Low
600,0.0,Low,Very Low
601,12.0,High,Medium
602,0.0,Low,Very Low
603,0.0,Medium,Very Low
604,0.0,Medium,Very Low
605,0.0,Very High,Very Low
606,52.0,Low,High
607,12.0,Very High,Medium
608,12.0,Low,Medium
609,0.0,Low,Very Low
610,0.0,Medium,Very Low
611,0.0,High,Very Low
612,12.0,Low,Medium
613,4.0,Medium,Low
614,0.0,Medium,Very Low
615,0.0,Very High,Very Low
616,0.0,Very High,Very Low
617,0.0,High,Very Low
618,4.0,Medium,Low
619,0.0,Very High,Very Low
620,0.0,Low,Very Low
621,0.0,Very High,Very Low
622,52.0,Low,High
623,0.0,High,Very Low
624,0.0,High,Very Low
625,0.0,Very High,Very Low
626,52.0,High,High
627,0.0,High,Very Low
628,12.0,Medium,Medium
629,12.0,Very High,Medium
630,0.0,Very High,Very Low
631,0.0,Very High,Very Low
632,0.0,High,Very Low
633,0.0,Medium,Very Low
634,4.0,Low,Low
635,52.0,Medium,High
636,4.0,Medium,Low
637,0.0,Low,Very Low
638,0.0,Low,Very Low
639,12.0,Low,Medium
640,0.0,Low,Very Low
641,0.0,Very High,Very Low
642,0.0,High,Very Low
643,0.0,Low,Very Low
644,0.0,Medium,Very Low
645,52.0,Very High,High
646,0.0,Medium,Very Low
647,0.0,Medium,Very Low
648,0.0,High,Very Low
649,52.0,Low,High
650,0.0,Very High,Very Low
651,0.0,Medium,Very Low
652,0.0,Low,Very Low
653,52.0,Low,High
654,0.0,High,Very Low
655,0.0,Medium,Very Low
656,12.0,Low,Medium
657,4.0,Low,Low
658,4.0,High,Low
659,52.0,Low,High
660,52.0,Medium,High
661,4.0,High,Low
662,4.0,High,Low
663,0.0,Very High,Very Low
664,12.0,Very High,Medium
665,0.0,Very High,Very Low
666,0.0,Medium,Very Low
667,4.0,Low,Low
668,4.0,High,Low
669,12.0,Very High,Medium
670,0.0,Very High,Very Low
671,0.0,Medium,Very Low
672,52.0,Low,High
673,4.0,Medium,Low
674,0.0,High,Very Low
675,0.0,Low,Very Low
676,0.0,Very High,Very Low
677,0.0,Medium,Very Low
678,0.0,High,Very Low
679,0.0,High,Very Low
680,0.0,Very High,Very Low
681,0.0,Low,Very Low
682,0.0,Medium,Very Low
683,0.0,Low,Very Low
684,12.0,Low,Medium
685,12.0,Very High,Medium
686,0.0,High,Very Low
687,0.0,Low,Very Low
688,4.0,Low,Low
689,12.0,Medium,Medium
690,0.0,Very High,Very Low
691,52.0,High,High
692,0.0,Low,Very Low
693,0.0,Very High,Very Low
694,0.0,Medium,Very Low
695,0.0,Low,Very Low
696,0.0,High,Very Low
697,12.0,Medium,Medium
698,4.0,High,Low
699,52.0,Medium,High
700,52.0,Medium,High
701,12.0,High,Medium
702,0.0,Very High,Very Low
703,52.0,High,High
704,52.0,Very High,High
705,0.0,High,Very Low
706,4.0,Very High,Low
707,52.0,Medium,High
708,0.0,Low,Very Low
709,0.0,Medium,Very Low
710,12.0,High,Medium
711,0.0,Very High,Very Low
712,0.0,Medium,Very Low
713,4.0,High,Low
714,0.0,Very High,Very Low
715,0.0,High,Very Low
716,4.0,High,Low
717,0.0,Low,Very Low
718,0.0,Very High,Very Low
719,0.0,Low,Very Low
720,0.0,Low,Very Low
721,52.0,High,High
722,0.0,Medium,Very Low
723,0.0,Low,Very Low
724,12.0,Medium,Medium
725,0.0,High,Very Low
726,0.0,High,Very Low
727,0.0,High,Very Low
728,0.0,Very High,Very Low
729,0.0,High,Very Low
730,0.0,Medium,Very Low
731,0.0,Low,Very Low
732,0.0,Low,Very Low
733,0.0,Medium,Very Low
734,0.0,Low,Very Low
735,0.0,High,Very Low
736,0.0,Medium,Very Low
737,0.0,Medium,Very Low
738,0.0,Low,Very Low
739,4.0,Low,Low
740,0.0,Low,Very Low
741,0.0,High,Very Low
742,0.0,High,Very Low
743,4.0,Low,Low
744,52.0,Very High,High
745,0.0,High,Very Low
746,12.0,Very High,Medium
747,0.0,Medium,Very Low
748,52.0,High,High
749,4.0,Low,Low
750,4.0,High,Low
751,0.0,Very High,Very Low
752,12.0,High,Medium
753,0.0,Very High,Very Low
754,4.0,Medium,Low
755,4.0,Medium,Low
756,52.0,Low,High
757,0.0,Very High,Very Low
758,4.0,Low,Low
759,0.0,High,Very Low
760,0.0,Medium,Very Low
761,0.0,Medium,Very Low
762,52.0,Very High,High
763,0.0,Medium,Very Low
764,12.0,Medium,Medium
765,4.0,Low,Low
766,4.0,Very High,Low
767,12.0,Medium,Medium
768,0.0,High,Very Low
769,52.0,Very High,High
770,12.0,Very High,Medium
771,0.0,Medium,Very Low
772,0.0,High,Very Low
773,0.0,Low,Very Low
774,0.0,Very High,Very Low
775,4.0,Medium,Low
776,12.0,Medium,Medium
777,0.0,Medium,Very Low
778,52.0,Low,High
779,0.0,Medium,Very Low
780,0.0,Very High,Very Low
781,4.0,Low,Low
782,0.0,Medium,Very Low
783,52.0,Medium,High
784,0.0,High,Very Low
785,0.0,High,Very Low
786,0.0,High,Very Low
787,0.0,Low,Very Low
788,52.0,Very High,High
789,4.0,Medium,Low
790,0.0,Very High,Very Low
791,4.0,Low,Low
792,0.0,Medium,Very Low
793,52.0,Medium,High
794,12.0,Low,Medium
795,0.0,Medium,Very Low
796,0.0,Low,Very Low
797,0.0,High,Very Low
798,52.0,Very High,High
799,0.0,Low,Very Low
800,0.0,Medium,Very Low
801,0.0,Low,Very Low
802,0.0,Low,Very Low
803,52.0,Medium,High
804,0.0,Low,Very Low
805,4.0,Medium,Low
806,12.0,Low,Medium
807,4.0,Medium,Low
808,52.0,Very High,High
809,0.0,Very High,Very Low
810,0.0,High,Very Low
811,0.0,Very High,Very Low
812,4.0,Low,Low
813,52.0,Medium,High
814,0.0,Medium,Very Low
815,12.0,High,Medium
816,0.0,Very High,Very Low
817,12.0,Low,Medium
818,0.0,Low,Very Low
819,12.0,Very High,Medium
820,4.0,Low,Low
821,12.0,Low,Medium
822,0.0,Low,Very Low
823,0.0,Medium,Very Low
824,4.0,Low,Low
825,4.0,Very High,Low
826,12.0,Very High,Medium
827,52.0,Very High,High
828,0.0,Medium,Very Low
829,0.0,High,Very Low
830,0.0,Medium,Very Low
831,0.0,High,Very Low
832,0.0,High,Very Low
833,0.0,High,Very Low
834,0.0,High,Very Low
835,52.0,Very High,High
836,52.0,Low,High
837,0.0,Very High,Very Low
838,0.0,Low,Very Low
839,0.0,Low,Very Low
840,0.0,Low,Very Low
841,52.0,Low,High
842,0.0,Very High,Very Low
843,52.0,Very High,High
844,52.0,High,High
845,0.0,Medium,Very Low
846,12.0,Low,Medium
847,4.0,High,Low
848,12.0,Medium,Medium
849,0.0,High,Very Low
850,4.0,High,Low
851,12.0,Low,Medium
852,12.0,Very High,Medium
853,0.0,Medium,Very Low
854,12.0,Medium,Medium
855,12.0,Medium,Medium
856,4.0,High,Low
857,0.0,Low,Very Low
858,0.0,Medium,Very Low
859,52.0,Low,High
860,12.0,High,Medium
861,12.0,Very High,Medium
862,0.0,Very High,Very Low
863,0.0,Very High,Very Low
864,0.0,Medium,Very Low
865,0.0,Medium,Very Low
866,0.0,Low,Very Low
867,0.0,High,Very Low
868,0.0,Low,Very Low
869,0.0,Very High,Very Low
870,52.0,Medium,High
871,0.0,High,Very Low
872,4.0,Medium,Low
873,4.0,Low,Low
874,4.0,High,Low
875,0.0,High,Very Low
876,0.0,Low,Very Low
877,52.0,Medium,High
878,0.0,High,Very Low
879,52.0,Very High,High
880,4.0,High,Low
881,12.0,High,Medium
882,0.0,High,Very Low
883,0.0,Low,Very Low
884,12.0,Low,Medium
885,52.0,Very High,High
886,0.0,Very High,Very Low
887,12.0,Medium,Medium
888,0.0,Medium,Very Low
889,0.0,High,Very Low
890,52.0,Very High,High
891,12.0,Medium,Medium
892,0.0,Low,Very Low
893,12.0,High,Medium
894,12.0,Medium,Medium
895,4.0,Medium,Low
896,4.0,High,Low
897,0.0,Low,Very Low
898,52.0,Very High,High
899,0.0,High,Very Low
900,0.0,Medium,Very Low
901,4.0,Very High,Low
902,12.0,High,Medium
903,12.0,Medium,Medium
904,4.0,Medium,Low
905,0.0,Very High,Very Low
906,0.0,High,Very Low
907,0.0,Medium,Very Low
908,0.0,Medium,Very Low
909,0.0,Very High,Very Low
910,52.0,Medium,High
911,12.0,Low,Medium
912,4.0,High,Low
913,12.0,Medium,Medium
914,0.0,Medium,Very Low
915,0.0,High,Very Low
916,0.0,Low,Very Low
917,12.0,Low,Medium
918,4.0,High,Low
919,0.0,Medium,Very Low
920,0.0,Very High,Very Low
921,52.0,High,High
922,52.0,Low,High
923,12.0,Medium,Medium
924,52.0,Low,High
925,4.0,High,Low
926,12.0,Very High,Medium
927,0.0,High,Very Low
928,0.0,High,Very Low
929,0.0,Low,Very Low
930,0.0,Very High,Very Low
931,0.0,High,Very Low
932,0.0,Low,Very Low
933,0.0,Low,Very Low
934,12.0,Very High,Medium
935,12.0,Medium,Medium
936,0.0,Medium,Very Low
937,52.0,Very High,High
938,4.0,Low,Low
939,0.0,Very High,Very Low
940,12.0,Very High,Medium
941,0.0,Medium,Very Low
942,0.0,Low,Very Low
943,0.0,Very High,Very Low
944,0.0,High,Very Low
945,0.0,Very High,Very Low
946,0.0,Low,Very Low
947,4.0,Low,Low
948,0.0,Low,Very Low
949,0.0,Very High,Very Low
950,12.0,Low,Medium
951,4.0,Low,Low
952,12.0,Medium,Medium
953,12.0,High,Medium
954,4.0,Medium,Low
955,0.0,High,Very Low
956,12.0,High,Medium
957,4.0,Very High,Low
958,4.0,Low,Low
959,0.0,Medium,Very Low
960,0.0,Very High,Very Low
961,4.0,Medium,Low
962,4.0,High,Low
963,0.0,High,Very Low
964,52.0,High,High
965,0.0,Medium,Very Low
966,0.0,Medium,Very Low
967,0.0,Medium,Very Low
968,52.0,Low,High
969,4.0,High,Low
970,12.0,Low,Medium
971,12.0,High,Medium
972,52.0,High,High
973,52.0,High,High
974,4.0,High,Low
975,12.0,Very High,Medium
976,52.0,Medium,High
977,0.0,Very High,Very Low
978,0.0,Low,Very Low
979,52.0,Medium,High
980,12.0,Low,Medium
981,0.0,Very High,Very Low
982,4.0,Medium,Low
983,12.0,High,Medium
984,0.0,Medium,Very Low
985,0.0,High,Very Low
986,0.0,High,Very Low
987,12.0,Very High,Medium
988,52.0,Medium,High
989,0.0,Very High,Very Low
990,12.0,Low,Medium
991,52.0,High,High
992,0.0,Very High,Very Low
993,52.0,Very High,High
994,52.0,Very High,High
995,12.0,High,Medium
996,52.0,High,High
997,4.0,Very High,Low
998,0.0,Low,Very Low
999,0.0,Very High,Very Low
1000,12.0,Low,Medium
1001,0.0,Medium,Very Low
1002,0.0,Medium,Very Low
1003,0.0,Medium,Very Low
1004,0.0,High,Very Low
1005,0.0,High,Very Low
1006,0.0,Very High,Very Low
1007,4.0,Very High,Low
1008,0.0,High,Very Low
1009,0.0,Very High,Very Low
1010,0.0,Low,Very Low
1011,0.0,Low,Very Low
1012,0.0,Low,Very Low
1013,0.0,Low,Very Low
1014,0.0,High,Very Low
1015,0.0,Very High,Very Low
1016,52.0,Low,High
1017,0.0,Low,Very Low
1018,0.0,Medium,Very Low
1019,52.0,High,High
1020,0.0,High,Very Low
1021,0.0,Very High,Very Low
1022,52.0,Medium,High
1023,0.0,Medium,Very Low
1024,0.0,High,Very Low
1025,4.0,High,Low
1026,0.0,Very High,Very Low
1027,0.0,Very High,Very Low
1028,12.0,Very High,Medium
1029,0.0,Low,Very Low
1030,0.0,Low,Very Low
1031,4.0,Very High,Low
1032,4.0,Medium,Low
1033,4.0,Low,Low
1034,4.0,Medium,Low
1035,52.0,Low,High
1036,0.0,Very High,Very Low
1037,12.0,Medium,Medium
1038,4.0,Low,Low
1039,52.0,High,High
1040,12.0,Medium,Medium
